T H sigma_H phase
2.552043046325569776e+03 9.563137299268308561e+04 1.530101967882929330e+03 liquid
2.603586533370989855e+03 9.799212430609361036e+04 1.567873988897497838e+03 liquid
2.647441728451140079e+03 1.005151931134584447e+05 1.608243089815335225e+03 liquid
2.691278262628470202e+03 1.028153424124388403e+05 1.645045478599021408e+03 liquid
2.734246719252009825e+03 1.049684014278150134e+05 1.679494422845040162e+03 liquid
2.782380099091690226e+03 1.074838566288181028e+05 1.719741706061089644e+03 liquid
2.831338014378569824e+03 1.096262565958555060e+05 1.754020105533688138e+03 liquid
2.882025864472079775e+03 1.119885306280454242e+05 1.791816490048726791e+03 liquid
2.933563131216550119e+03 1.142749754364825494e+05 1.828399606983720787e+03 liquid
2.981677850153409963e+03 1.165675111297898111e+05 1.865080178076636912e+03 liquid
3.031497622693129870e+03 1.187826948781219689e+05 1.900523118049951563e+03 liquid
3.083041109738539944e+03 1.211434461891076207e+05 1.938295139025721937e+03 liquid
3.134584596783960023e+03 1.235041975000934472e+05 1.976067160001495267e+03 liquid
3.187845578034130085e+03 1.259362098711914878e+05 2.014979357939063902e+03 liquid
3.240244702031449833e+03 1.282954384609620029e+05 2.052727015375392057e+03 liquid
3.292650046329720226e+03 1.307289735532754858e+05 2.091663576852407914e+03 liquid
3.345049170327039974e+03 1.330882021430458117e+05 2.129411234288732885e+03 liquid
3.398303931276269850e+03 1.354459080116008117e+05 2.167134528185612908e+03 liquid
3.449847418321679925e+03 1.378066593225868128e+05 2.204906549161389194e+03 liquid
