T Cp sigma_Cp phase
2.572576996807199976e+03 4.343611146959107572e+01 6.641852001660336624e-01 liquid
2.771501010567839785e+03 4.382698011787348946e+01 5.815173165299609703e-01 liquid
2.970600775256879842e+03 4.459193432096756027e+01 2.902421132424539696e-01 liquid
3.170188736969209913e+03 4.639601506520532581e+01 4.981797979151594835e-01 liquid
3.369210390134519912e+03 4.699470902171637476e+01 5.812186853309306844e-01 liquid
3.571187262614199881e+03 4.792557442958824510e+01 9.133647504421013030e-01 liquid
3.770384666707890119e+03 4.889835394091096532e+01 7.054495875707675889e-01 liquid
3.972410358889900181e+03 4.993313200289724563e+01 9.345154995599126435e-01 liquid
4.168896642180870003e+03 5.109330333343113040e+01 9.549503885888901422e-01 liquid
4.370971154065209703e+03 5.223199404953165015e+01 1.121055458420749273e+00 liquid
4.570637227301280291e+03 5.420233504035228833e+01 1.162621267243242995e+00 liquid
4.771064887893689956e+03 5.779371343535709116e+01 1.702518840022579916e+00 liquid
